"GEOID","multinom","rf","growth_prob","consensus"
"170311001004","Growth","Growth",1,"3"
"170311001005","Decline","Decline",0,"1"
"170311002001","Growth","Growth",1,"3"
"170311002003","Growth","Growth",1,"3"
"170311002004","Growth","Growth",1,"3"
"170311002005","Growth","Growth",1,"3"
"170311002006","Growth","Growth",1,"3"
"170311003001","Growth","Growth",1,"3"
"170311003002","Growth","Growth",1,"3"
"170311003005","Growth","Growth",1,"3"
"170311003006","Growth","Growth",1,"3"
"170311004001","Growth","Growth",1,"3"
"170311004002","Growth","Growth",1,"3"
"170311004003","Growth","Growth",1,"3"
"170311005001","Growth","Growth",1,"3"
"170311005002","Growth","Growth",1,"3"
"170311005003","Growth","Growth",1,"3"
"170311005004","Stable","Stable",6.88398829528606e-111,"2"
"170311005005","Growth","Growth",1,"3"
"170311006001","Growth","Growth",1,"3"
"170311006002","Growth","Growth",1,"3"
"170311006003","Decline","Decline",0,"1"
"170311006004","Growth","Growth",1,"3"
"170311007001","Growth","Growth",1,"3"
"170311007002","Growth","Growth",1,"3"
"170311007003","Growth","Growth",1,"3"
"170311007004","Growth","Growth",1,"3"
"170311007005","Growth","Growth",1,"3"
"170311101001","Stable","Stable",9.22977584985948e-108,"2"
"170311101002","Growth","Growth",1,"3"
"170311101004","Growth","Growth",1,"3"
"170311101005","Decline","Decline",0,"1"
"170311102001","Stable","Stable",0,"2"
"170311102002","Stable","Stable",1.33633031176681e-52,"2"
"170311103001","Growth","Growth",1,"3"
"170311103002","Growth","Growth",1,"3"
"170311103003","Growth","Growth",1,"3"
"170311103004","Growth","Growth",1,"3"
"170311103005","Growth","Growth",1,"3"
"170311104001","Growth","Growth",1,"3"
"170311104002","Growth","Growth",1,"3"
"170311104003","Growth","Growth",1,"3"
"170311105011","Decline","Decline",0,"1"
"170311105012","Growth","Growth",1,"3"
"170311105013","Growth","Growth",1,"3"
"170311105014","Growth","Growth",1,"3"
"170311105015","Growth","Growth",1,"3"
"170311105021","Growth","Growth",1,"3"
"170311105022","Growth","Growth",1,"3"
"170311201001","Growth","Growth",1,"3"
"170311201002","Decline","Decline",0,"1"
"170311201003","Growth","Growth",1,"3"
"170311201004","Growth","Growth",1,"3"
"170311202001","Growth","Growth",1,"3"
"170311202002","Growth","Growth",1,"3"
"170311202003","Growth","Growth",1,"3"
"170311202004","Growth","Growth",1,"3"
"170311203001","Growth","Growth",1,"3"
"170311203002","Growth","Growth",1,"3"
"170311203003","Growth","Growth",1,"3"
"170311203004","Growth","Growth",1,"3"
"170311203005","Growth","Growth",1,"3"
"170311203006","Decline","Decline",0,"1"
"170311204001","Growth","Growth",1,"3"
"170311204002","Growth","Growth",1,"3"
"170311204003","Growth","Growth",1,"3"
"170311301001","Growth","Growth",1,"3"
"170311301002","Growth","Growth",1,"3"
"170311301003","Stable","Stable",3.6654157038173e-32,"2"
"170311302001","Growth","Growth",1,"3"
"170311303001","Decline","Decline",0,"1"
"170311303002","Growth","Growth",1,"3"
"170311303003","Growth","Growth",1,"3"
"170311303004","Growth","Growth",1,"3"
"170311401001","Growth","Growth",1,"3"
"170311401002","Growth","Growth",1,"3"
"170311402001","Growth","Growth",1,"3"
"170311402002","Growth","Growth",1,"3"
"170311402003","Growth","Growth",1,"3"
"170311403011","Growth","Growth",1,"3"
"170311403012","Growth","Growth",1,"3"
"170311403021","Growth","Growth",1,"3"
"170311403022","Growth","Growth",1,"3"
"170311403023","Growth","Growth",1,"3"
"170311404001","Stable","Stable",1.18256691594478e-272,"2"
"170311404002","Growth","Growth",1,"3"
"170311404004","Growth","Growth",1,"3"
"170311404005","Growth","Growth",1,"3"
"170311405001","Growth","Growth",1,"3"
"170311405002","Growth","Growth",1,"3"
"170311406011","Growth","Growth",1,"3"
"170311406021","Growth","Growth",1,"3"
"170311406022","Growth","Growth",1,"3"
"170311406023","Growth","Growth",1,"3"
"170311407011","Growth","Growth",1,"3"
"170311407012","Growth","Growth",1,"3"
"170311407021","Growth","Growth",1,"3"
"170311407022","Stable","Stable",8.49824647687397e-162,"2"
"170311407023","Growth","Growth",1,"3"
"170311407024","Growth","Growth",1,"3"
"170311408001","Growth","Growth",1,"3"
"170311408002","Growth","Growth",1,"3"
"170311408003","Growth","Growth",1,"3"
"170311408004","Growth","Growth",1,"3"
"170311408005","Stable","Stable",0,"2"
"170311502001","Growth","Growth",1,"3"
"170311502002","Growth","Growth",1,"3"
"170311502004","Growth","Growth",1,"3"
"170311502005","Growth","Growth",1,"3"
"170311503001","Stable","Stable",4.05133829589822e-322,"2"
"170311503002","Growth","Growth",1,"3"
"170311503003","Growth","Growth",1,"3"
"170311503004","Growth","Growth",1,"3"
"170311503005","Growth","Growth",1,"3"
"170311503006","Growth","Growth",1,"3"
"170311503007","Growth","Growth",1,"3"
"170311504011","Growth","Growth",1,"3"
"170311504012","Growth","Growth",1,"3"
"170311504013","Stable","Stable",5.76323035805123e-112,"2"
"170311504014","Growth","Growth",1,"3"
"170311504021","Growth","Growth",1,"3"
"170311504022","Growth","Growth",1,"3"
"170311504023","Growth","Growth",1,"3"
"170311505011","Growth","Growth",1,"3"
"170311505012","Growth","Growth",1,"3"
"170311505013","Growth","Growth",1,"3"
"170311505021","Growth","Growth",1,"3"
"170311505022","Growth","Growth",1,"3"
"170311505023","Growth","Growth",1,"3"
"170311506001","Growth","Growth",1,"3"
"170311506002","Growth","Growth",1,"3"
"170311506003","Growth","Growth",1,"3"
"170311507001","Decline","Decline",0,"1"
"170311507002","Growth","Growth",1,"3"
"170311507003","Growth","Growth",1,"3"
"170311507004","Growth","Growth",1,"3"
"170311508001","Growth","Growth",1,"3"
"170311508002","Growth","Growth",1,"3"
"170311508003","Growth","Growth",1,"3"
"170311508005","Stable","Stable",0,"2"
"170311510011","Growth","Growth",1,"3"
"170311510021","Growth","Growth",1,"3"
"170311510022","Growth","Growth",1,"3"
"170311510023","Growth","Growth",1,"3"
"170311510024","Growth","Growth",1,"3"
"170311511001","Growth","Growth",1,"3"
"170311511002","Stable","Stable",1.41421273683799e-53,"2"
"170311511003","Growth","Growth",1,"3"
"170311511004","Growth","Growth",1,"3"
"170311512001","Growth","Growth",1,"3"
"170311512002","Growth","Growth",1,"3"
"170311512003","Growth","Stable",0.999999999997179,"Disagreement"
"170311601001","Growth","Growth",1,"3"
"170311601002","Growth","Growth",1,"3"
"170311602001","Growth","Growth",1,"3"
"170311602002","Growth","Growth",1,"3"
"170311602004","Growth","Growth",1,"3"
"170311603001","Growth","Growth",1,"3"
"170311603002","Growth","Growth",1,"3"
"170311603003","Growth","Growth",1,"3"
"170311604001","Growth","Growth",1,"3"
"170311604002","Growth","Growth",1,"3"
"170311605011","Growth","Growth",1,"3"
"170311605012","Growth","Growth",1,"3"
"170311605021","Growth","Growth",1,"3"
"170311605022","Growth","Growth",1,"3"
"170311605023","Growth","Growth",1,"3"
"170311606011","Growth","Growth",1,"3"
"170311606012","Growth","Growth",1,"3"
"170311606013","Stable","Stable",1.97336476250253e-167,"2"
"170311606021","Growth","Growth",1,"3"
"170311606022","Growth","Growth",1,"3"
"170311606023","Growth","Growth",1,"3"
"170311607001","Decline","Decline",0,"1"
"170311607003","Stable","Stable",2.211939488165e-193,"2"
"170311607004","Growth","Growth",1,"3"
"170311608001","Growth","Growth",1,"3"
"170311608002","Growth","Growth",1,"3"
"170311608005","Growth","Growth",1,"3"
"170311609001","Growth","Growth",1,"3"
"170311609002","Growth","Growth",1,"3"
"170311610001","Growth","Growth",1,"3"
"170311610002","Growth","Growth",1,"3"
"170311611001","Growth","Growth",1,"3"
"170311611002","Growth","Growth",1,"3"
"170311612001","Growth","Growth",1,"3"
"170311612002","Growth","Growth",1,"3"
"170311613001","Growth","Growth",1,"3"
"170311613002","Growth","Growth",1,"3"
"170311613003","Growth","Growth",1,"3"
"170311613004","Growth","Growth",1,"3"
"170311701001","Growth","Growth",1,"3"
"170311702001","Growth","Growth",1,"3"
"170311702002","Growth","Growth",1,"3"
"170311702003","Decline","Decline",0,"1"
"170311703001","Growth","Growth",1,"3"
"170311703002","Growth","Growth",1,"3"
"170311703003","Growth","Growth",1,"3"
"170311703004","Growth","Growth",1,"3"
"170311703005","Growth","Growth",1,"3"
"170311704001","Growth","Growth",1,"3"
"170311704002","Growth","Growth",1,"3"
"170311704003","Growth","Growth",1,"3"
"170311704004","Growth","Growth",1,"3"
"170311705001","Decline","Decline",0,"1"
"170311705002","Growth","Growth",1,"3"
"170311705003","Growth","Growth",1,"3"
"170311705004","Decline","Decline",0,"1"
"170311706001","Growth","Growth",1,"3"
"170311706002","Growth","Growth",1,"3"
"170311707001","Growth","Growth",1,"3"
"170311707003","Growth","Growth",1,"3"
"170311708001","Growth","Growth",1,"3"
"170311708002","Growth","Growth",1,"3"
"170311708003","Growth","Growth",1,"3"
"170311709001","Growth","Growth",1,"3"
"170311710001","Decline","Decline",0,"1"
"170311710002","Growth","Growth",1,"3"
"170311710003","Growth","Growth",1,"3"
"170311710004","Growth","Growth",1,"3"
"170311710005","Stable","Stable",6.30215442561408e-90,"2"
"170311710006","Growth","Growth",1,"3"
"170311711001","Growth","Growth",1,"3"
"170311711002","Growth","Growth",1,"3"
"170311711003","Decline","Decline",0,"1"
"170311801001","Growth","Growth",1,"3"
"170311801002","Growth","Growth",1,"3"
"170311801003","Growth","Growth",1,"3"
"170311801004","Growth","Growth",1,"3"
"170311801005","Growth","Growth",1,"3"
"170311901001","Growth","Growth",1,"3"
"170311902001","Growth","Growth",1,"3"
"170311902003","Growth","Growth",1,"3"
"170311902004","Growth","Growth",1,"3"
"170311903001","Growth","Growth",1,"3"
"170311903002","Growth","Growth",1,"3"
"170311903003","Growth","Growth",1,"3"
"170311903004","Growth","Growth",1,"3"
"170311904012","Growth","Growth",1,"3"
"170311904021","Stable","Stable",1.9460832957914e-137,"2"
"170311904022","Growth","Growth",1,"3"
"170311906012","Growth","Growth",1,"3"
"170311906013","Growth","Growth",1,"3"
"170311906021","Growth","Growth",1,"3"
"170311906022","Growth","Growth",1,"3"
"170311906023","Growth","Growth",1,"3"
"170311907011","Growth","Growth",1,"3"
"170311907012","Growth","Growth",1,"3"
"170311907021","Growth","Growth",1,"3"
"170311907022","Growth","Growth",1,"3"
"170311907023","Growth","Growth",1,"3"
"170311908003","Growth","Growth",1,"3"
"170311908004","Growth","Growth",1,"3"
"170311908005","Decline","Decline",0,"1"
"170311909001","Growth","Growth",1,"3"
"170311910001","Decline","Decline",0,"1"
"170311910002","Growth","Growth",1,"3"
"170311911001","Growth","Growth",1,"3"
"170311911003","Decline","Decline",0,"1"
"170311911004","Growth","Growth",1,"3"
"170311911005","Growth","Growth",1,"3"
"170311912001","Growth","Growth",1,"3"
"170311913011","Growth","Growth",1,"3"
"170311913012","Growth","Growth",1,"3"
"170311913013","Growth","Growth",1,"3"
"170311913021","Growth","Growth",1,"3"
"170311913022","Growth","Growth",1,"3"
"170312001001","Growth","Growth",1,"3"
"170312001002","Growth","Growth",1,"3"
"170312001003","Growth","Growth",1,"3"
"170312002002","Growth","Growth",1,"3"
"170312002003","Growth","Growth",1,"3"
"170312002004","Growth","Growth",1,"3"
"170312003001","Stable","Stable",2.16366818675846e-158,"2"
"170312003002","Growth","Growth",1,"3"
"170312004011","Growth","Growth",1,"3"
"170312004012","Growth","Growth",1,"3"
"170312004021","Growth","Growth",1,"3"
"170312004022","Growth","Growth",1,"3"
"170312004023","Growth","Growth",1,"3"
"170312101001","Growth","Growth",1,"3"
"170312101002","Growth","Growth",1,"3"
"170312101003","Growth","Growth",1,"3"
"170312104001","Growth","Growth",1,"3"
"170312104002","Growth","Growth",1,"3"
"170312105011","Growth","Growth",1,"3"
"170312105012","Growth","Growth",1,"3"
"170312105021","Growth","Growth",1,"3"
"170312105022","Growth","Growth",1,"3"
"170312105023","Growth","Growth",1,"3"
"170312106011","Growth","Growth",1,"3"
"170312106012","Growth","Growth",1,"3"
"170312106013","Growth","Growth",1,"3"
"170312106021","Growth","Growth",1,"3"
"170312106022","Growth","Growth",1,"3"
"170312106023","Growth","Growth",1,"3"
"170312107001","Growth","Growth",1,"3"
"170312107002","Growth","Growth",1,"3"
"170312107003","Growth","Growth",1,"3"
"170312108001","Growth","Growth",1,"3"
"170312109001","Growth","Growth",1,"3"
"170312109002","Growth","Growth",1,"3"
"170312203001","Growth","Growth",1,"3"
"170312203002","Growth","Growth",1,"3"
"170312204001","Growth","Growth",1,"3"
"170312204002","Growth","Growth",1,"3"
"170312205001","Growth","Growth",1,"3"
"170312205002","Growth","Growth",1,"3"
"170312205003","Growth","Growth",1,"3"
"170312206011","Growth","Growth",1,"3"
"170312206012","Growth","Growth",1,"3"
"170312206022","Decline","Decline",0,"1"
"170312206024","Growth","Growth",1,"3"
"170312206025","Growth","Growth",1,"3"
"170312207011","Growth","Growth",1,"3"
"170312207013","Growth","Growth",1,"3"
"170312207021","Growth","Growth",1,"3"
"170312207022","Growth","Growth",1,"3"
"170312207023","Growth","Growth",1,"3"
"170312209011","Growth","Growth",1,"3"
"170312209012","Growth","Growth",1,"3"
"170312209013","Growth","Growth",1,"3"
"170312209021","Growth","Growth",1,"3"
"170312209022","Growth","Growth",1,"3"
"170312210001","Growth","Growth",1,"3"
"170312210002","Growth","Growth",1,"3"
"170312211001","Growth","Growth",1,"3"
"170312211002","Growth","Growth",1,"3"
"170312211003","Growth","Growth",1,"3"
"170312212001","Growth","Growth",1,"3"
"170312212002","Growth","Growth",1,"3"
"170312213001","Growth","Growth",1,"3"
"170312213002","Growth","Growth",1,"3"
"170312213003","Growth","Growth",1,"3"
"170312214001","Growth","Growth",1,"3"
"170312214002","Growth","Growth",1,"3"
"170312214003","Growth","Growth",1,"3"
"170312215001","Growth","Growth",1,"3"
"170312215002","Growth","Growth",1,"3"
"170312216001","Growth","Growth",1,"3"
"170312216002","Growth","Growth",1,"3"
"170312222001","Growth","Growth",1,"3"
"170312222002","Growth","Growth",1,"3"
"170312225001","Growth","Growth",1,"3"
"170312226001","Growth","Growth",1,"3"
"170312227001","Growth","Growth",1,"3"
"170312227002","Growth","Growth",1,"3"
"170312228001","Growth","Growth",1,"3"
"170312229001","Growth","Growth",1,"3"
"170312301001","Growth","Growth",1,"3"
"170312302001","Growth","Growth",1,"3"
"170312303001","Growth","Growth",1,"3"
"170312304001","Growth","Growth",1,"3"
"170312304002","Growth","Growth",1,"3"
"170312305001","Growth","Growth",1,"3"
"170312306001","Growth","Growth",1,"3"
"170312306003","Growth","Growth",1,"3"
"170312306005","Growth","Growth",1,"3"
"170312306006","Growth","Growth",1,"3"
"170312307001","Decline","Decline",0,"1"
"170312307002","Decline","Decline",0,"1"
"170312307003","Growth","Growth",1,"3"
"170312307004","Stable","Stable",6.29865135598284e-207,"2"
"170312308001","Growth","Growth",1,"3"
"170312309001","Growth","Growth",1,"3"
"170312309002","Growth","Growth",1,"3"
"170312309003","Growth","Growth",1,"3"
"170312311001","Growth","Growth",1,"3"
"170312312001","Growth","Growth",1,"3"
"170312312002","Decline","Decline",0,"1"
"170312312003","Growth","Growth",1,"3"
"170312312005","Growth","Growth",1,"3"
"170312315002","Growth","Growth",1,"3"
"170312315003","Decline","Decline",0,"1"
"170312402001","Growth","Growth",1,"3"
"170312403001","Growth","Growth",1,"3"
"170312405001","Growth","Growth",1,"3"
"170312406001","Growth","Growth",1,"3"
"170312407001","Growth","Growth",1,"3"
"170312408001","Growth","Growth",1,"3"
"170312408002","Growth","Growth",1,"3"
"170312409001","Growth","Growth",1,"3"
"170312410001","Growth","Growth",1,"3"
"170312410002","Growth","Growth",1,"3"
"170312411001","Growth","Growth",1,"3"
"170312411002","Growth","Growth",1,"3"
"170312412001","Growth","Growth",1,"3"
"170312412002","Growth","Growth",1,"3"
"170312413001","Growth","Growth",1,"3"
"170312414002","Growth","Growth",1,"3"
"170312414003","Growth","Growth",1,"3"
"170312414004","Growth","Growth",1,"3"
"170312415001","Growth","Growth",1,"3"
"170312415002","Growth","Growth",1,"3"
"170312415003","Growth","Growth",1,"3"
"170312416001","Growth","Growth",1,"3"
"170312416002","Growth","Growth",1,"3"
"170312420001","Growth","Growth",1,"3"
"170312420002","Growth","Growth",1,"3"
"170312420003","Growth","Growth",1,"3"
"170312421001","Growth","Growth",1,"3"
"170312421002","Growth","Growth",1,"3"
"170312421003","Growth","Growth",1,"3"
"170312422001","Growth","Growth",1,"3"
"170312422002","Growth","Growth",1,"3"
"170312423001","Growth","Growth",1,"3"
"170312423002","Growth","Growth",1,"3"
"170312424001","Growth","Growth",1,"3"
"170312424002","Growth","Growth",1,"3"
"170312425001","Growth","Growth",1,"3"
"170312425002","Growth","Growth",1,"3"
"170312426001","Growth","Growth",1,"3"
"170312426002","Growth","Growth",1,"3"
"170312426003","Growth","Growth",1,"3"
"170312426004","Growth","Growth",1,"3"
"170312427001","Growth","Growth",1,"3"
"170312428001","Growth","Growth",1,"3"
"170312429001","Growth","Growth",1,"3"
"170312429002","Growth","Growth",1,"3"
"170312430001","Growth","Growth",1,"3"
"170312430002","Growth","Growth",1,"3"
"170312431001","Growth","Growth",1,"3"
"170312431002","Decline","Decline",0,"1"
"170312432002","Decline","Decline",0,"1"
"170312433001","Growth","Growth",1,"3"
"170312433002","Growth","Growth",1,"3"
"170312434001","Growth","Growth",1,"3"
"170312434003","Growth","Growth",1,"3"
"170312435001","Growth","Growth",1,"3"
"170312435002","Growth","Growth",1,"3"
"170312502001","Growth","Growth",1,"3"
"170312502002","Stable","Stable",6.36229401169405e-133,"2"
"170312503001","Growth","Growth",1,"3"
"170312503003","Growth","Growth",1,"3"
"170312503004","Growth","Growth",1,"3"
"170312504001","Growth","Growth",1,"3"
"170312504002","Growth","Growth",1,"3"
"170312504003","Growth","Growth",1,"3"
"170312504004","Growth","Growth",1,"3"
"170312504005","Growth","Growth",1,"3"
"170312505001","Growth","Growth",1,"3"
"170312505002","Stable","Stable",1.37539172267228e-187,"2"
"170312505003","Growth","Growth",1,"3"
"170312505004","Growth","Growth",1,"3"
"170312505006","Growth","Growth",1,"3"
"170312505007","Growth","Growth",1,"3"
"170312506001","Growth","Growth",1,"3"
"170312506002","Growth","Growth",1,"3"
"170312507003","Growth","Growth",1,"3"
"170312507004","Growth","Growth",1,"3"
"170312508001","Growth","Growth",1,"3"
"170312508002","Growth","Growth",1,"3"
"170312510001","Growth","Growth",1,"3"
"170312511001","Growth","Growth",1,"3"
"170312511002","Growth","Growth",1,"3"
"170312511004","Growth","Growth",1,"3"
"170312512004","Growth","Growth",1,"3"
"170312513001","Growth","Growth",1,"3"
"170312513002","Growth","Growth",1,"3"
"170312513003","Growth","Growth",1,"3"
"170312513004","Growth","Growth",1,"3"
"170312513005","Growth","Growth",1,"3"
"170312514001","Decline","Decline",0,"1"
"170312514002","Decline","Decline",0,"1"
"170312514003","Decline","Decline",0,"1"
"170312514004","Decline","Decline",0,"1"
"170312515001","Growth","Growth",1,"3"
"170312515002","Growth","Growth",1,"3"
"170312516003","Growth","Growth",1,"3"
"170312517001","Growth","Growth",1,"3"
"170312518001","Growth","Growth",1,"3"
"170312519001","Growth","Growth",1,"3"
"170312519002","Growth","Growth",1,"3"
"170312519003","Growth","Growth",1,"3"
"170312519004","Growth","Growth",1,"3"
"170312520002","Growth","Growth",1,"3"
"170312520003","Growth","Growth",1,"3"
"170312520004","Decline","Decline",0,"1"
"170312521011","Growth","Growth",1,"3"
"170312521021","Decline","Decline",0,"1"
"170312521022","Growth","Growth",1,"3"
"170312522011","Growth","Growth",1,"3"
"170312522012","Growth","Growth",1,"3"
"170312522013","Growth","Growth",1,"3"
"170312522021","Growth","Growth",1,"3"
"170312522022","Growth","Growth",1,"3"
"170312522023","Growth","Growth",1,"3"
"170312522024","Growth","Growth",1,"3"
"170312522025","Growth","Growth",1,"3"
"170312601001","Growth","Growth",1,"3"
"170312602001","Growth","Growth",1,"3"
"170312604001","Decline","Decline",0,"1"
"170312605001","Growth","Growth",1,"3"
"170312606002","Growth","Growth",1,"3"
"170312607001","Growth","Growth",1,"3"
"170312607002","Growth","Growth",1,"3"
"170312608001","Decline","Stable",8.00315250639833e-177,"Disagreement"
"170312608002","Growth","Growth",1,"3"
"170312609001","Decline","Decline",0,"1"
"170312610001","Growth","Growth",1,"3"
"170312610002","Growth","Growth",1,"3"
"170312705001","Growth","Growth",1,"3"
"170312712001","Growth","Growth",1,"3"
"170312713001","Growth","Growth",1,"3"
"170312714001","Growth","Growth",1,"3"
"170312715001","Growth","Growth",1,"3"
"170312718001","Growth","Growth",1,"3"
"170312801001","Growth","Growth",1,"3"
"170312801002","Growth","Growth",1,"3"
"170312801003","Stable","Stable",1.60683795647201e-39,"2"
"170312804001","Growth","Growth",1,"3"
"170312808001","Growth","Growth",1,"3"
"170312819001","Growth","Growth",1,"3"
"170312819002","Growth","Growth",1,"3"
"170312819003","Stable","Stable",4.41267565406225e-124,"2"
"170312827001","Growth","Growth",1,"3"
"170312827002","Growth","Growth",1,"3"
"170312828001","Growth","Growth",1,"3"
"170312831002","Growth","Growth",1,"3"
"170312832001","Growth","Growth",1,"3"
"170312838001","Growth","Growth",1,"3"
"170312838002","Growth","Growth",1,"3"
"170312909002","Growth","Growth",1,"3"
"170312909003","Growth","Growth",1,"3"
"170312909004","Growth","Growth",1,"3"
"170312912002","Decline","Decline",0,"1"
"170312916001","Growth","Growth",1,"3"
"170312922002","Growth","Growth",1,"3"
"170312922003","Growth","Growth",1,"3"
